the_geom,OBJECTID,Status,Score,MATCH_TYPE,Match_addr,Side,User_fld,Addr_type,Full Address,B1_PER_ID1,B1_PER_ID2,B1_PER_ID3,B1_PER_GROUP,SUBDIVISIONNAME,PERMITNUM,PERMITTYPE,B1_APPL_STATUS,B1_HSE_NBR_START,B1_HSE_FRAC_NBR_START,B1_STR_DIR,B1_STR_NAME,B1_STR_SUFFIX,B1_STR_SUFFIX_DIR,B1_UNIT_TYPE,B1_WORK_DESC,ADDRESS,SEQ,LINK,WEB,StPreDir,Country,X,StPreType,State,SubAddressType,StateAbbr,StType,Xmax,Distance,StDir,DisplayY,City,AddNum,StName,ZIP,LangCode,Ymax,B1_UNIT_START,DisplayX,ZIP4,StAddr,Y,Xmin,SubAddressUnit,Ymin,County
,"2,116",U,0,A,,,,,,17CAP,0,000FC,Building,,SP01983,Stock Plan,Approved,,,,,,,,,,,&capID1=17CAP&capID2=00000&capID3=000FC,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000FC&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,114",U,0,A,,,,,,21CAP,0,000MK,Building,X429,SP02328,Stock Plan,Code Update Required,,,,,,,,,,,&capID1=21CAP&capID2=00000&capID3=000MK,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=000MK&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.029071351735 40.520369311546),899,M,100,A,"2502 TIMBERWOOD DR, 80528",,2730001,SubAddress,,HIS99,0,40389,Building,WILDWOOD TOWNHOMES PUD,B973474,Residential New Single Family Attached,Issued TCO,"2,502",,,TIMBERWOOD,DR,,,NEW TOWNHOME  STOCK PLAN 814,2502   TIMBERWOOD DR,1,&capID1=HIS99&capID2=00000&capID3=40389,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=HIS99&capID2=00000&capID3=40389&agencyCode=FTCOLLINS,,USA,"3,130,935.26",,,,,DR,0,0,,0,,2502,TIMBERWOOD,80528,,0,106,0,,2502 TIMBERWOOD DR,"1,432,779.84",0,,0,
POINT (-105.091292936501 40.561605738871),948,M,100,A,"800 SHIRE CT, 80526",,312070000,SubAddress,,HIS99,0,40175,Building,WINDTRAIL TOWNHOMES PUD,B950063,Residential New Single Family Attached,Issued TCO,800,,,SHIRE,CT,,,NEW SFR                                                                 STOCK PLAN #720                                                         OPTIONS NONE,800   SHIRE CT,,&capID1=HIS99&capID2=00000&capID3=40175,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=HIS99&capID2=00000&capID3=40175&agencyCode=FTCOLLINS,,USA,"3,113,560.25",,,,,CT,0,0,,0,,800,SHIRE,80526,,0,,0,,800 SHIRE CT,"1,447,693.31",0,,0,
,"2,179",U,0,A,,,,,,20CAP,0,0006V,Building,Marissa (Unit C),SP02275,Stock Plan,Code Update Required,,,,,,,,2018 IRC code re-review for the Marissa (Unit C) one of two units in a paired townhouse building - approved 2018 IRC review 4/23/20.  Previously reviewed/approved under the 2015 IRC stock plan number was SP02196,,,&capID1=20CAP&capID2=00000&capID3=0006V,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=0006V&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,336",U,0,A,,,,,,19CAP,0,30,Building,Plan 1466R & 1467L,SP02222,Stock Plan,Code Update Required,,,,,,,,"Paired townhome stock plan 

Approved 2018 IRC code re-review 4/3/19 -  Lennar Plan 1466R & 1467L Craftsman Elevation A (previous stock plan 2015 code was SP02169 Cal Atlantic Plan 2422)",,,&capID1=19CAP&capID2=00000&capID3=00030,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=00030&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.0990079365 40.57762102438),329,M,100,A,"710 CITY PARK AVE, 80521",,238760001,SubAddress,,22RAL,0,1284,Building,,B2207647,Commercial General Alteration,Issued Full,710,,,CITY PARK,AVE,,,"Interior remodel of 975 sf to repair drywall and interior finishes, and portions of the back wall due to smoke damage. Job Contact - Jim Lohr - 970-581-0613",710   CITY PARK AVE,68,&capID1=22RAL&capID2=00000&capID3=01284,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22RAL&capID2=00000&capID3=01284&agencyCode=FTCOLLINS,,USA,"3,111,198.51",,,,,AVE,0,0,,0,,710,CITY PARK,80521,,0,C 313,0,,710 CITY PARK AVE,"1,453,617.66",0,,0,
POINT (-105.041880879539 40.502747195968),176,M,100,A,"1935 ZEPHYR RD, 80528",,700413407,SubAddress,,22COM,0,161,Building,RENNAT,B2202157,Residential New Single Family Attached,Issued Full,"1,935",,,ZEPHYR,RD,,,"New 1,461 sq. ft., 2 story, single family attached residence with 408 sq. ft. attached garage on crawl space foundation. Stock plan SP02341(paired townhome) with options 6 (fireplace) 7 (air conditioner) 8 (left unit). Energy Compliance: UA/Alt. FCLWD. 200 Amp. Job contact: Zach Marsh 303-548-8173",1935   ZEPHYR RD,108,&capID1=22COM&capID2=00000&capID3=00161,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22COM&capID2=00000&capID3=00161&agencyCode=FTCOLLINS,,USA,"3,127,398.45",,,,,RD,0,0,,0,,1935,ZEPHYR,80528,,0,,0,,1935 ZEPHYR RD,"1,426,305.57",0,,0,
,"1,570",U,0,A,,,,,,17CAP,0,000GP,Building,Marigold,SP02032,Stock Plan,Approved,,,,,,,,Marigold,,,&capID1=17CAP&capID2=00000&capID3=000GP,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000GP&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.028960663015 40.521643812564),933,M,100,A,"4601 CORBETT DR, 80528",,1020000,SubAddress,,10RAL,0,442,Building,,B1005381,Commercial General Alteration,Issued Full,"4,601",,,CORBETT,DR,,,OPEN RANGE COMMUNICATIONS TO INSTALL ANTENNAS ON EXISTING GROUND MOUNTED TOWER STRUCTURE W/ACCOMPANYING GROUND EQUIPMENT.,4601   CORBETT DR,4,&capID1=10RAL&capID2=00000&capID3=00442,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=10RAL&capID2=00000&capID3=00442&agencyCode=FTCOLLINS,,USA,"3,131,131.75",,,,,DR,0,0,,0,,4601,CORBETT,80528,,0,,0,,4601 CORBETT DR,"1,433,319.05",0,,0,
